REF_AREA_LABEL,TIME_PERIOD,INDICATOR_LABEL,OBS_VALUE
Afghanistan,2013,Population for Reference Year 2019,12328410.0
Afghanistan,2013,Population for Reference Year 2019,1006312.0
Afghanistan,2013,Population for Reference Year 2019,4978536.0
Afghanistan,2013,Population for Reference Year 2019,5053477.5
Albania,2021,Population for Reference Year 2019,408852.5
Albania,2021,Population for Reference Year 2019,32057.0
Albania,2021,Population for Reference Year 2019,167690.0
Albania,2021,Population for Reference Year 2019,96963.5
United Arab Emirates,2011,Population for Reference Year 2019,985702.5
United Arab Emirates,2011,Population for Reference Year 2019,486507.5
United Arab Emirates,2011,Population for Reference Year 2019,499195.0
United Arab Emirates,2011,Population for Reference Year 2019,89040.5
United Arab Emirates,2011,Population for Reference Year 2019,42306.5
United Arab Emirates,2011,Population for Reference Year 2019,46734.0
United Arab Emirates,2011,Population for Reference Year 2019,371528.0
United Arab Emirates,2011,Population for Reference Year 2019,185088.0
United Arab Emirates,2011,Population for Reference Year 2019,186440.0
United Arab Emirates,2011,Population for Reference Year 2019,265931.5
United Arab Emirates,2011,Population for Reference Year 2019,126925.0
United Arab Emirates,2011,Population for Reference Year 2019,139006.5
United Arab Emirates,2016,Population for Reference Year 2019,985702.5
United Arab Emirates,2016,Population for Reference Year 2019,486507.5
United Arab Emirates,2016,Population for Reference Year 2019,499195.0
United Arab Emirates,2016,Population for Reference Year 2019,89040.5
United Arab Emirates,2016,Population for Reference Year 2019,42306.5
United Arab Emirates,2016,Population for Reference Year 2019,46734.0
United Arab Emirates,2016,Population for Reference Year 2019,371528.0
United Arab Emirates,2016,Population for Reference Year 2019,185088.0
United Arab Emirates,2016,Population for Reference Year 2019,186440.0
United Arab Emirates,2016,Population for Reference Year 2019,265931.5
United Arab Emirates,2016,Population for Reference Year 2019,126925.0
United Arab Emirates,2016,Population for Reference Year 2019,139006.5
United Arab Emirates,2021,Population for Reference Year 2019,985702.5
United Arab Emirates,2021,Population for Reference Year 2019,486507.5
United Arab Emirates,2021,Population for Reference Year 2019,499195.0
United Arab Emirates,2021,Population for Reference Year 2019,89040.5
United Arab Emirates,2021,Population for Reference Year 2019,42306.5
United Arab Emirates,2021,Population for Reference Year 2019,46734.0
United Arab Emirates,2021,Population for Reference Year 2019,371528.0
United Arab Emirates,2021,Population for Reference Year 2019,185088.0
United Arab Emirates,2021,Population for Reference Year 2019,186440.0
United Arab Emirates,2021,Population for Reference Year 2019,265931.5
United Arab Emirates,2021,Population for Reference Year 2019,126925.0
United Arab Emirates,2021,Population for Reference Year 2019,139006.5
Argentina,2006,Population for Reference Year 2019,8557334.0
Argentina,2006,Population for Reference Year 2019,4160431.5
Argentina,2006,Population for Reference Year 2019,4396902.5
Argentina,2006,Population for Reference Year 2019,709872.5
Argentina,2006,Population for Reference Year 2019,344883.0
Argentina,2006,Population for Reference Year 2019,364989.5
Argentina,2006,Population for Reference Year 2019,3537399.0
Argentina,2006,Population for Reference Year 2019,1719302.0
Argentina,2006,Population for Reference Year 2019,1818097.0
Argentina,2006,Population for Reference Year 2019,1428815.5
