REF_AREA_LABEL,TIME_PERIOD,INDICATOR_LABEL,OBS_VALUE
Angola,2000,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",21.36
Angola,2008,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",14.59
Angola,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",31.12
Albania,1996,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.53
Albania,2002,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.09
Albania,2005,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.59
Albania,2008,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.2
Albania,2012,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.62
Albania,2014,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.02
Albania,2015,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.1
Albania,2016,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.1399999999999999
Albania,2016,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.800000000000001
Albania,2017,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.3899999999999999
Albania,2017,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.26
Albania,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.05
Albania,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.89
Albania,2019,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Albania,2020,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.02
United Arab Emirates,2013,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
United Arab Emirates,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Argentina,1980,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Argentina,1986,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.12
Argentina,1987,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.1900000000000002
Argentina,1991,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.97
Argentina,1992,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.67
Argentina,1993,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.98
Argentina,1994,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.91
Argentina,1995,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.86
Argentina,1996,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",4.22
Argentina,1997,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.77
Argentina,1998,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.97
Argentina,1999,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",4.19
Argentina,2000,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",4.99
Argentina,2001,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",8.23
Argentina,2002,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",12.45
Argentina,2003,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.36
Argentina,2004,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.88
Argentina,2005,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",2.68
Argentina,2006,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",2.17
Argentina,2007,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.7999999999999998
Argentina,2008,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.64
Argentina,2009,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.55
Argentina,2010,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.75
Argentina,2011,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.7100000000000001
Argentina,2012,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.65
Argentina,2013,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.67
Argentina,2014,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.6
Argentina,2016,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.7000000000000001
Argentina,2017,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.6
Argentina,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.04
Argentina,2019,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.11
Argentina,2020,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.17
Argentina,2021,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.89
Argentina,2022,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.61
Armenia,1996,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",14.37
Armenia,1999,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",11.9
Armenia,2001,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",13.97
Armenia,2002,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",9.97
Armenia,2003,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",7.539999999999999
Armenia,2004,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.319999999999999
Armenia,2005,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",2.63
Armenia,2006,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",2.0
Armenia,2007,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.54
Armenia,2008,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.88
Armenia,2009,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.25
Armenia,2010,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.95
Armenia,2011,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.1900000000000002
Armenia,2012,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.83
Armenia,2013,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.7399999999999998
Armenia,2014,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.44
Armenia,2015,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.15
Armenia,2016,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.11
Armenia,2017,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.79
Armenia,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.34
Armenia,2019,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.03
Armenia,2020,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.35
Armenia,2021,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.52
